timestamp,price
2018-01-01 00,13529.360591314464
2018-01-01 01,13623.181015733615
2018-01-01 02,13742.844248605965
2018-01-01 03,13558.050969869806
2018-01-01 04,13548.76841152776
2018-01-01 05,13543.115039609744
2018-01-01 06,13283.419076847082
2018-01-01 07,13287.461664324817
2018-01-01 08,13144.300798693024
2018-01-01 09,13051.295820578354
2018-01-01 10,13286.679279646118
2018-01-01 11,13145.195697916111
2018-01-01 12,13182.599730870303
2018-01-01 13,13210.196159798841
2018-01-01 14,13249.604886195846
2018-01-01 15,13463.719367740778
2018-01-01 16,13613.018010974927
2018-01-01 17,13582.570670387728
2018-01-01 18,13480.716852981845
2018-01-01 19,13752.97441622389
2018-01-01 20,13798.19664841964
2018-01-01 21,13550.554617609276
2018-01-01 22,13402.028675421701
2018-01-01 23,13213.462111971618
2018-01-02 00,13199.361110502161
2018-01-02 01,13298.376156880766
2018-01-02 02,13367.429586413316
2018-01-02 03,13476.312900112807
2018-01-02 04,13585.384993523687
2018-01-02 05,13703.751971425265
2018-01-02 06,13635.269705923345
2018-01-02 07,13653.016816402893
2018-01-02 08,13855.456917729622
2018-01-02 09,13900.442228581522
2018-01-02 10,13765.72156484567
2018-01-02 11,13814.16156510817
2018-01-02 12,13800.626137732888
2018-01-02 13,14371.844509245017
2018-01-02 14,14913.371331828255
2018-01-02 15,15018.508331302624
2018-01-02 16,14824.027525195048
2018-01-02 17,14908.540701874652
2018-01-02 18,14797.849447800354
2018-01-02 19,14872.155738174915
2018-01-02 20,14871.38333441123
2018-01-02 21,14941.235518991356
2018-01-02 22,15068.63522964944
2018-01-02 23,15059.193916135544
2018-01-03 00,15110.31224274465
2018-01-03 01,15203.086603727474
2018-01-03 02,15332.127884409347
2018-01-03 03,15209.199921616311
2018-01-03 04,14977.772911904443
2018-01-03 05,14755.228068959965
2018-01-03 06,14822.113961405596
2018-01-03 07,14845.205310715715
2018-01-03 08,14829.645105336305
2018-01-03 09,15006.957070597933
2018-01-03 10,15040.149239808605
2018-01-03 11,15151.535484279953
2018-01-03 12,15074.594399533973
2018-01-03 13,14903.19653398422
2018-01-03 14,14865.187183061144
2018-01-03 15,14864.93127136284
2018-01-03 16,15010.25910208216
2018-01-03 17,15005.128485318555
2018-01-03 18,14970.510298616395
2018-01-03 19,15095.980591158126
2018-01-03 20,15163.624819887555
2018-01-03 21,15344.361295617564
2018-01-03 22,15239.295006805529
2018-01-03 23,15007.59180109286
2018-01-04 00,14954.880683409832
2018-01-04 01,15071.127371255965
2018-01-04 02,14952.562791392007
2018-01-04 03,14683.534076715072
2018-01-04 04,14493.644752374677
2018-01-04 05,14596.22811465434
2018-01-04 06,14494.515723362503
2018-01-04 07,14548.539220321923
2018-01-04 08,14573.815222903355
2018-01-04 09,14622.507203873287
2018-01-04 10,14612.575820843753
2018-01-04 11,14580.605229269151
2018-01-04 12,14694.032247487004
2018-01-04 13,14843.041623680685
2018-01-04 14,14888.82446212208
2018-01-04 15,15004.13797524453
2018-01-04 16,14960.251768027772
2018-01-04 17,14951.0034903116
2018-01-04 18,15036.954503741945
2018-01-04 19,15053.181511540293
2018-01-04 20,15065.709206397747
2018-01-04 21,15129.611975665684
2018-01-04 22,15014.152152663622
2018-01-04 23,14934.582750182275
2018-01-05 00,14949.977948995594
2018-01-05 01,14992.738156134981
2018-01-05 02,14913.166534609918
2018-01-05 03,15137.07728058039
2018-01-05 04,15709.932630150885
2018-01-05 05,15951.199470346464
2018-01-05 06,15950.525747714079
2018-01-05 07,15871.676821211642
2018-01-05 08,15946.4003532894
2018-01-05 09,16009.462118451178
2018-01-05 10,15982.829886731868
2018-01-05 11,16235.492225576729
2018-01-05 12,16403.99173468551
2018-01-05 13,16444.824630737967
2018-01-05 14,16359.325067478396
2018-01-05 15,16414.460640448764
2018-01-05 16,16782.090918559126
2018-01-05 17,16859.848640212156
2018-01-05 18,17024.89711125771
2018-01-05 19,16767.379200693707
2018-01-05 20,16926.431057008303
2018-01-05 21,16799.448181897984
2018-01-05 22,16622.376781360308
2018-01-05 23,16518.025295364485
2018-01-06 00,16576.214051227656
2018-01-06 01,16624.981846506365
2018-01-06 02,16489.809917797054
2018-01-06 03,16484.79231391318
2018-01-06 04,16432.143535017716
2018-01-06 05,16510.97003511527
2018-01-06 06,16594.982932203322
2018-01-06 07,16414.142404730497
2018-01-06 08,16314.335000577577
2018-01-06 09,16430.846618506817
2018-01-06 10,16569.165492320706
2018-01-06 11,16678.02803240653
2018-01-06 12,16822.172399518553
2018-01-06 13,16888.611095557324
