negative_tweets,neutral_tweets,positive_tweets,timestamp,price
275,8176,1741,2018-04-13 01:00:00,7799.5283967844825
260,8368,1944,2018-04-13 02:00:00,7826.794152574004
316,8409,1814,2018-04-13 03:00:00,7966.471410780381
249,7681,1892,2018-04-13 04:00:00,8088.857076488942
243,7492,2082,2018-04-13 05:00:00,8106.802690316883
809,8660,2224,2018-04-13 06:00:00,8064.774692528544
290,10673,2495,2018-04-13 07:00:00,8106.202947623989
269,10311,2524,2018-04-13 08:00:00,8151.610159032863
402,9860,2459,2018-04-13 09:00:00,8147.077321985265
331,10027,2449,2018-04-13 10:00:00,8089.373008581182
337,10751,2566,2018-04-13 11:00:00,8102.483791909708
431,11829,2753,2018-04-13 12:00:00,8124.98952543722
81,1936,397,2018-04-13 13:00:00,8114.576410965773
677,11273,3206,2018-04-13 14:00:00,8105.612125316972
571,10743,3308,2018-04-13 15:00:00,8092.005553554811
595,11224,3131,2018-04-13 16:00:00,7971.348748138398
687,10792,2780,2018-04-13 17:00:00,7879.244033159225
592,10415,2487,2018-04-13 18:00:00,7830.452625978606
250,5617,1391,2018-04-13 19:00:00,7917.381264366106
507,9515,2303,2018-04-13 20:00:00,7875.390834501521
346,8159,2109,2018-04-13 21:00:00,7997.571016098223
332,7455,1723,2018-04-13 22:00:00,8037.651576626347
286,7141,1671,2018-04-13 23:00:00,8019.892842778945
250,6730,1647,2018-04-14 00:00:00,8007.8990174270175
295,6710,1713,2018-04-14 01:00:00,8000.0975094160785
402,6276,1751,2018-04-14 02:00:00,7989.856539585773
363,6794,1683,2018-04-14 03:00:00,8091.640988972697
329,6297,1606,2018-04-14 04:00:00,8119.151087656475
292,5840,1460,2018-04-14 05:00:00,8060.040735920394
320,6782,1844,2018-04-14 06:00:00,7994.15339961028
415,9140,2180,2018-04-14 07:00:00,7981.588245271297
310,8187,1918,2018-04-14 08:00:00,7929.604198706272
337,8072,2062,2018-04-14 09:00:00,7937.43058436436
382,7848,2233,2018-04-14 10:00:00,7954.869646853366
341,7950,2144,2018-04-14 11:00:00,7981.079125515142
402,8724,2221,2018-04-14 12:00:00,7965.998052061869
338,8917,2236,2018-04-14 13:00:00,7978.537137158961
312,7819,1963,2018-04-14 14:00:00,7985.980939896683
408,9060,2338,2018-04-14 15:00:00,8021.670813936973
432,9516,2220,2018-04-14 16:00:00,8053.329667993329
380,9180,2416,2018-04-14 17:00:00,8066.269188544452
302,7907,2224,2018-04-14 18:00:00,8062.2395227736
375,8149,2320,2018-04-14 19:00:00,8017.320533933142
321,7977,2131,2018-04-14 20:00:00,8078.352587618466
209,6846,1649,2018-04-14 21:00:00,8085.522459008545
215,6234,1561,2018-04-14 22:00:00,8100.564631352085
238,6424,1399,2018-04-14 23:00:00,8088.905626145084
69,1748,388,2018-04-15 00:00:00,8108.281513594286
273,6000,1424,2018-04-15 01:00:00,8102.379567591109
246,6323,1455,2018-04-15 02:00:00,8117.214006891556
305,6400,1662,2018-04-15 03:00:00,8097.41823878412
228,6470,1736,2018-04-15 04:00:00,8109.467018552656
192,6651,1729,2018-04-15 05:00:00,8107.707315822748
149,6883,1819,2018-04-15 06:00:00,8121.37202169115
218,8532,2241,2018-04-15 07:00:00,8329.364904559814
