,negative_tweets,neutral_tweets,positive_tweets,timestamp
138,321,7977,2131,2018-04-14 20:00:00
139,209,6846,1649,2018-04-14 21:00:00
140,215,6234,1561,2018-04-14 22:00:00
141,238,6424,1399,2018-04-14 23:00:00
142,69,1748,388,2018-04-15 00:00:00
143,273,6000,1424,2018-04-15 01:00:00
144,246,6323,1455,2018-04-15 02:00:00
145,305,6400,1662,2018-04-15 03:00:00
146,228,6470,1736,2018-04-15 04:00:00
147,192,6651,1729,2018-04-15 05:00:00
148,149,6883,1819,2018-04-15 06:00:00
149,218,8532,2241,2018-04-15 07:00:00
150,250,7868,1913,2018-04-15 08:00:00
151,195,7308,1835,2018-04-15 09:00:00
152,210,7847,2063,2018-04-15 10:00:00
153,28,1530,285,2018-04-15 11:00:00
154,284,9284,2417,2018-04-15 12:00:00
155,282,10280,2487,2018-04-15 13:00:00
156,337,10715,2616,2018-04-15 14:00:00
157,258,10029,2714,2018-04-15 15:00:00
158,315,9910,2735,2018-04-15 16:00:00
159,348,9636,2499,2018-04-15 17:00:00
160,189,4832,1291,2018-04-15 18:00:00
161,299,8162,2257,2018-04-15 19:00:00
162,269,8044,2034,2018-04-15 20:00:00
163,196,7236,1802,2018-04-15 21:00:00
164,252,6392,1429,2018-04-15 22:00:00
165,234,6431,1367,2018-04-15 23:00:00
166,224,6560,1320,2018-04-16 00:00:00
167,199,6508,1354,2018-04-16 01:00:00
168,218,7063,1434,2018-04-16 02:00:00
169,201,7127,1569,2018-04-16 03:00:00
170,212,6768,1778,2018-04-16 04:00:00
171,73,2276,575,2018-04-16 05:00:00
172,199,7779,1828,2018-04-16 06:00:00
173,267,9285,2227,2018-04-16 07:00:00
174,241,9049,2274,2018-04-16 08:00:00
175,234,9350,2087,2018-04-16 09:00:00
176,205,9243,2150,2018-04-16 10:00:00
177,335,9532,2189,2018-04-16 11:00:00
178,333,10587,2354,2018-04-16 12:00:00
179,222,5150,1121,2018-04-16 13:00:00
180,415,10417,2382,2018-04-16 14:00:00
181,483,10378,2254,2018-04-16 15:00:00
182,541,11028,2599,2018-04-16 16:00:00
183,338,9905,2190,2018-04-16 17:00:00
184,364,9623,2233,2018-04-16 18:00:00
185,312,9229,2114,2018-04-16 19:00:00
186,251,8504,2107,2018-04-16 20:00:00
187,20,836,174,2018-04-16 21:00:00
188,287,7078,1377,2018-04-16 22:00:00
189,202,7248,1378,2018-04-16 23:00:00
190,193,6799,1263,2018-04-17 00:00:00
191,194,6938,1384,2018-04-17 01:00:00
192,290,6947,1347,2018-04-17 02:00:00
193,188,7559,1476,2018-04-17 03:00:00
194,304,7580,1403,2018-04-17 04:00:00
195,341,7528,1548,2018-04-17 05:00:00
196,283,7740,1542,2018-04-17 06:00:00
197,299,6911,1468,2018-04-17 07:00:00
198,305,8801,1881,2018-04-17 08:00:00
199,370,8699,2037,2018-04-17 09:00:00
200,382,8760,2174,2018-04-17 10:00:00
201,451,9739,2476,2018-04-17 11:00:00
202,469,10604,2556,2018-04-17 12:00:00
203,446,9830,2264,2018-04-17 13:00:00
204,369,9357,2243,2018-04-17 14:00:00
205,208,5885,1290,2018-04-17 15:00:00
206,475,10458,2346,2018-04-17 16:00:00
207,447,10095,2503,2018-04-17 17:00:00
208,398,10336,2621,2018-04-17 18:00:00
209,540,10285,2375,2018-04-17 19:00:00
210,518,8919,2165,2018-04-17 20:00:00
211,328,7874,1691,2018-04-17 21:00:00
212,425,7383,1527,2018-04-17 22:00:00
213,143,3149,714,2018-04-17 23:00:00
214,355,6654,1698,2018-04-18 00:00:00
215,270,6888,1512,2018-04-18 01:00:00
216,273,7119,1509,2018-04-18 02:00:00
217,263,7459,1435,2018-04-18 03:00:00
218,477,7363,1590,2018-04-18 04:00:00
219,345,7726,1890,2018-04-18 05:00:00
220,358,8043,1914,2018-04-18 06:00:00
221,480,9891,2115,2018-04-18 07:00:00
222,328,9143,1973,2018-04-18 08:00:00
223,28,878,142,2018-04-18 09:00:00
224,356,9695,2136,2018-04-18 10:00:00
225,394,10180,2047,2018-04-18 11:00:00
226,538,11019,2394,2018-04-18 12:00:00
227,558,10796,2551,2018-04-18 13:00:00
